ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
20;MONUMENTO;1;GRANITO Y BRONCE;DON JUAN DE GARAY;EBERLEIN, GUSTAVO;PLAZA 11 DE JUNIO DE 1580;PLAZA 11 DE JUNIO DE 1580;ALEM, LEANDRO N. AV. 90;ALEM, LEANDRO N. AV.;90;SAN NICOLAS;COMUNA 1;1003;C1003AAN;-34.60669936;-58.37036874
62;MONUMENTO ALEGORICO;1;HORMIGON ARMADO;CONVIVENCIA Y PAZ;BITTON, FRANCOISE;PARQUE DE LOS NI??OS;PARQUE DE LOS NIÑOS;;;;;;;;;
106;MONUMENTO;1;BRONCE Y PIEDRA;WILLIAM C. MORRIS;CERANTONIO, HUMBERTO;AV FIGUEROA ALCORTA-MENDEZ AGUSTIN;AV FIGUEROA ALCORTA-MENDEZ AGUSTIN;FIGUEROA ALCORTA, PRES. AV. Y MENDEZ, AGUSTIN;FIGUEROA ALCORTA, PRES. AV.;;PALERMO;COMUNA 14;;;-34.56267673;-58.42337262
109;MONUMENTO;1;GRANITO Y BRONCE;ALMIRANTE GUILLERMO BROWN;CHIAPASCO, ALEJANDRO;PZTA JOSE RAZZANO;PZTA JOSE RAZZANO;ROSALES AV. Y PERON, JUAN DOMINGO, TTE. GENERAL;ROSALES AV.;;SAN NICOLAS;COMUNA 1;;;-34.60524792;-58.36885736
185;MONUMENTO;1;BRONCE Y MARMOL;JORGE CANNING;LAGOS, ALBERTO;PLAZA BARTOLOME MITRE;PLAZA BARTOLOME MITRE;;;;;;;;;
188;MONUMENTO;1;BRONCE Y GRANITO;GIBRAN KHALIL GIBRAN;;PLAZA BARTOLOME MITRE;PLAZA BARTOLOME MITRE;;;;;;;;;
306;MONUMENTO;1;BRONCE Y MARMOL;DR.JOSE FIGUEROA ALCORTA;FERRARO, JUAN CARLOS;PLAZA DANTE;PLAZA DANTE;DEL LIBERTADOR AV. Y PUEYRREDON AV.;DEL LIBERTADOR AV.;;RECOLETA;COMUNA 2;;;-34.58475338;-58.39172485
374;MONUMENTO OBELISCO;1;MAMPOSTERIA;HJE. AL IV° CENT. FUNDACION DE BS. A;E.A.I.M.;PLAZA DE LA REPUBLICA;PLAZA DE LA REPUBLICA;CORRIENTES AV. 1066;CORRIENTES AV.;1066;SAN NICOLAS;COMUNA 1;1043;C1043AAX;-34.60360686;-58.38180146
500;MONUMENTO;1;BRONCE Y GRANITO;GRL. MANUEL BELGRANO;CARRIERE B. Y S. COLOMA;PLAZA DE MAYO;PLAZA DE MAYO;YRIGOYEN, HIPOLITO AV. 401;YRIGOYEN, HIPOLITO AV.;401;MONSERRAT;COMUNA 1;1086;C1086AAE;-34.60892629;-58.37215533
576;MONUMENTO;1;MARMOL Y GRANITO;TEODOLINA ALVEAR DE LEZICA;DE LA CARCOVA, CARLOS;PEPIRI-CHUTRO PEDRO-LOS PATOS-AV;PEPIRI-CHUTRO PEDRO-LOS PATOS-AV;PEPIRI Y CHUTRO, PEDRO, PROF., DR.;PEPIRI;;PARQUE PATRICIOS;COMUNA 4;;;-34.6427229;-58.40931033
617;MONUMENTO;1;BRONCE Y GRANITO;HOMENAJE A ESPA?A;DRESCO, ARTURO;PZTA CIUDAD DE SALAMANCA;PZTA CIUDAD DE SALAMANCA;ESPAÑA AV. Y LAFONE, QUEVEDO SAMUEL;ESPAÑA AV.;;BOCA;COMUNA 4;;;-34.62233467;-58.35461059
672;MONUMENTO;1;MARMOL;HOMENAJE A LAS VICTIMAS DE LA FIEBRE AM;FERRARI, JUAN;PARQUE AMEGHINO;PARQUE AMEGHINO;CASEROS AV. Y SANTA CRUZ;CASEROS AV.;;PARQUE PATRICIOS;COMUNA 4;;;-34.63490646;-58.39385875
730;MONUMENTO;1;BRONCE Y MARMOL;JOSE EVARISTO URIBURU;LAGOS, ALBERTO;PLAZA EMILIO MITRE;PLAZA EMILIO MITRE;LAS HERAS GENERAL AV. 2300;LAS HERAS GENERAL AV.;2300;RECOLETA;COMUNA 2;1127;C1127AAR;-34.58747065;-58.39720581
756;MONUMENTO;1;BRONCE Y GRANITO;FRANCIA A LA ARGENTINA;PEYNOT, EMILIO EDMUNDO;PLAZA FRANCIA;PLAZA FRANCIA;DEL LIBERTADOR AV. 1400;DEL LIBERTADOR AV.;1400;RECOLETA;COMUNA 2;1112;C1112ABQ;-34.58475991;-58.39170453
762;MONUMENTO;1;MARMOL Y BRONCE;EL CID CAMPEADOR;HUNTINGTON, ANN DE;PZTA CID CAMPEADOR;PZTA CID CAMPEADOR;PUEYRREDON, HONORIO, DR. AV. Y GAONA AV.;PUEYRREDON, HONORIO, DR. AV.;;CABALLITO;COMUNA 6;;;-34.60780568;-58.44530262
774;MONUMENTO;1;BRONCE Y GRANITO;JORGE WASHINGTON;KEK, CHARLES;PZTA GRAL JOSE ANTONIO PAEZ;PZTA GRAL JOSE ANTONIO PAEZ;ISABEL, INFANTA AV. 410;ISABEL, INFANTA AV.;410;PALERMO;COMUNA 14;1425;C1425CHA;-34.57099207;-58.42138766
